acdnt_year,occrrnc_time_code,legaldong_name,acdnt_hdc,lrg_violt_1_dc,road_stle_dc,wrngdo_vhcle_asort_dc,acdnt_age_1_code,rdse_sttus_dc,road_div,lat,lng,near_crosswalk,near_traffic_light,near_child_zone,near_elderly_zone,near_disabled_zone,lanes,lengths,velocity,traffic_volume,elderly_hotspot,non_elderly_hotspot,all_hotspot
2021,19,서울특별시 강남구 역삼동,차대차,안전운전불이행,기타 - 기타,승합,51, 적설,104.0,37.50645069172889,127.04080388726544,0,0,0,0,0,6.0,12051.0,22.8,65162,0,1,1
2021,19,서울특별시 강남구 대치동,차대차,안전운전불이행,기타 - 기타,승용,35, 서리/결빙,104.0,37.50669577067335,127.06752701873194,0,0,0,0,0,,,,36939,0,0,0
2021,20,서울특별시 강남구 역삼동,차대차,안전운전불이행,교차로 - 교차로부근,승합,47, 적설,104.0,37.48978397037532,127.03147185153804,1,1,1,0,0,9.0,7816.0,21.6,53898,0,1,1
2021,21,서울특별시 강남구 대치동,차대차,안전운전불이행,교차로 - 교차로부근,승용,38, 적설,104.0,37.505514071026035,127.05754336752771,1,1,0,0,0,7.0,5058.0,21.6,65162,0,1,1
2021,21,서울특별시 강남구 세곡동,차대차,안전운전불이행,단일로 - 기타,승합,57, 적설,105.0,37.46562626089528,127.11610638812787,0,0,0,0,0,8.0,3595.0,22.8,44062,0,0,0
2021,22,서울특별시 강남구 청담동,차대사람,기타,교차로 - 교차로부근,승용,28, 적설,104.0,37.52343808768912,127.05408772284926,1,0,0,0,0,,,,120822,0,0,0
2021,22,서울특별시 강남구 역삼동,차대차,안전운전불이행,단일로 - 기타,승용,25, 서리/결빙,104.0,37.498959287286745,127.03590588250168,1,0,1,0,0,,,,53898,0,0,0
2021,5,서울특별시 강남구 압구정동,차대차,신호위반,교차로 - 교차로안,승용,23, 적설,104.0,37.529291085643386,127.0339071684411,0,1,1,0,0,7.0,2894.0,18.8,125260,0,1,1
2021,9,서울특별시 강남구 논현동,차대차,안전운전불이행,교차로 - 교차로부근,승용,65, 서리/결빙,104.0,37.51952349651221,127.02787974365609,1,1,0,0,0,10.0,3279.0,27.0,64676,1,1,1
2021,11,서울특별시 강남구 논현동,차대사람,안전운전불이행,단일로 - 기타,승용,65, 젖음/습기,,37.511445169651374,127.0295939545336,0,0,1,0,0,,,,64676,0,0,0
