부착대관리번호,신호등종류,X좌표,Y좌표
03-0000010837,2.0,197114.7969,541787.8125
03-0000060220,2.0,197089.4063,541797.5
03-0000001408,2.0,195728.47158,543004.24328
03-0000010821,2.0,195742.1141,542988.12175
03-0000033653,2.0,193111.2008,552443.38767
03-0000047204,2.0,211041.35414,541146.03245
03-0000017169,2.0,208322.32392,550554.6916
03-0000017186,2.0,206347.05108,549171.05595
03-0000008217,2.0,192394.52145,557381.20344
03-0000008235,2.0,193175.35693,556210.49935
03-0000023435,2.0,206065.24825,554360.65031
03-0000038279,2.0,204109.58931,541810.428
03-0000044789,2.0,197774.81973,542638.26016
03-0000060537,2.0,184330.46875,552633.65625
03-0000018026,2.0,183819.32813,552418.46875
03-0000011173,2.0,191405.08278,541251.93169
03-0000060551,2.0,183314.74873,551665.98606
03-0000060553,2.0,183331.87381,551665.30106
03-0000062081,2.0,189951.00346,541103.85271
03-0000062083,2.0,189962.60346,541121.75271
03-0000062088,2.0,192214.13387,545718.55901
03-0000062090,2.0,192221.8052,545737.26568
03-0000061554,2.0,199124.99994,551197.46455
03-0000017815,2.0,183786.48438,552180.6875
03-0000017814,2.0,183798.84617,552180.89661
03-0000019687,2.0,183769.60938,551465.46875
03-0000008646,2.0,192669.43698,547756.1672
03-0000008656,2.0,194927.6742,546011.6327
03-0000009251,2.0,193075.00081,552440.12688
03-0000016608,2.0,198705.32631,546500.24659
03-0000009200,2.0,198231.3125,544698.875
03-0000009201,2.0,198233.625,544705.25
03-0000009981,2.0,198709.59407,544550.23106
03-0000009981,2.0,198710.5,544550.375
03-0000049084,2.0,199072.89767,544723.7839
03-0000052104,2.0,199162.09375,544742.125
03-0000052105,2.0,199162.90625,544737.84375
03-0000004379,2.0,192148.57339,551851.219
03-0000061811,2.0,190910.62342,547629.36126
03-0000061812,2.0,190879.17188,547594.6875
03-0000020156,2.0,190937.78125,547567.21875
03-0000061815,4.0,187383.91305,547544.41409
03-0000049503,2.0,190395.23715,545218.41295
03-0000062364,2.0,202194.18435,553336.5447
03-0000027534,2.0,208432.08668,556042.36599
03-0000062365,2.0,208431.21546,556044.21112
03-0000018027,2.0,183793.44052,552385.80073
03-0000018023,2.0,183808.32112,552204.63735
03-0000060976,2.0,191712.24496,554568.48401
03-0000060977,2.0,191736.79227,554555.12789
03-0000008512,2.0,194771.48206,549140.34743
03-0000015369,2.0,206729.58566,549676.01755
03-0000021457,2.0,203310.49544,552272.5374
03-0000021458,2.0,203332.60938,552295.8125
03-0000021810,2.0,203060.2798,554098.14576
03-0000008435,2.0,192568.05532,554613.35099
03-0000008445,2.0,193633.65241,544325.83821
03-0000008454,2.0,193658.53787,544351.13821
03-0000008463,2.0,195514.14373,540916.34163
03-0000008473,2.0,190271.76621,544461.82707
03-0000008483,2.0,184732.69706,543755.63416
03-0000008492,2.0,190621.17857,545352.48202
03-0000008503,2.0,186209.95621,544100.77495
03-0000008512,2.0,194770.54428,549138.47375
03-0000008540,2.0,186837.06048,544890.24655
03-0000008569,2.0,190644.08595,545342.80957
03-0000008579,2.0,192884.84154,547330.95861
03-0000008674,2.0,195052.32969,544387.96025
03-0000008692,2.0,189857.71115,544302.16684
03-0000008701,2.0,187460.84692,545635.73919
03-0000044014,2.0,202270.39084,559801.30512
03-0000018033,2.0,202996.11773,550538.3821
03-0000018041,2.0,203023.42615,550541.7349
03-0000018069,2.0,207637.34375,547949.875
03-0000018087,2.0,187880.42282,549212.29453
03-0000013366,2.0,209398.63727,540627.34391
03-0000008152,2.0,208495.55363,557187.58052
03-0000016755,2.0,202066.87159,549860.65227
03-0000016765,2.0,201888.2303,549869.95523
03-0000016775,2.0,202747.53196,550946.06661
03-0000016822,2.0,212736.0311,547606.96456
03-0000022911,2.0,205951.48285,556216.02269
03-0000022914,2.0,205940.93071,556186.82979
03-0000062367,2.0,208448.63655,556040.42708
03-0000062742,2.0,195506.07178,543649.28068
03-0000062744,2.0,192071.29968,542727.51641
03-0000062746,2.0,192067.90162,542745.63935
03-0000062748,2.0,195506.05156,543648.94353
03-0000054884,2.0,196517.63774,547020.44786
03-0000010760,2.0,200424.84839,550778.79154
03-0000048731,2.0,201315.75034,556283.28261
03-0000045320,2.0,204575.57813,554072.28125
03-0000041302,2.0,191680.60494,547976.2302
03-0000044749,2.0,201463.24251,542833.0229
03-0000008608,2.0,190053.10838,544135.24982
03-0000015587,2.0,207074.29688,549555.53125
03-0000021351,2.0,204835.52467,551900.04013
03-0000036168,2.0,204830.16554,551927.4446
03-0000061021,2.0,208329.33663,554286.19914
03-0000008971,2.0,191019.28994,543845.65383
03-0000031300,2.0,205917.73063,556200.45645
03-0000022916,2.0,205911.73847,556159.14314
03-0000053896,2.0,207800.6857,550767.33205
03-0000053895,2.0,207783.83805,550744.59769
03-0000062424,2.0,207942.96768,554364.95035
03-0000062426,2.0,207945.01593,554386.52523
03-0000062429,2.0,208094.11186,554408.44965
03-0000024048,2.0,208087.53938,554426.51054
03-0000036650,2.0,207009.11957,557446.41447
03-0000062436,2.0,203114.97449,548909.44387
03-0000062438,2.0,203150.31367,548907.62673
03-0000061679,2.0,203115.91613,546196.71436
03-0000022849,2.0,203700.49397,554628.50587
03-0000026264,2.0,201169.93235,558881.70998
03-0000026274,2.0,201160.70742,559781.93579
03-0000026284,2.0,201360.58528,559368.7889
03-0000026310,2.0,204388.82252,562171.79756
03-0000020514,2.0,186013.98775,552404.25688
03-0000020524,2.0,183522.65996,552967.25639
03-0000048002,2.0,185935.2,545439.84267
03-0000020547,2.0,187625.45951,547496.68607
03-0000020581,2.0,188874.96513,547590.87195
03-0000061022,2.0,208310.86818,554273.41587
03-0000036684,2.0,207548.4512,552823.80036
03-0000026977,2.0,198965.45313,542069.75
03-0000024154,2.0,206208.61573,558769.01576
03-0000024171,2.0,207785.13748,554137.8267
03-0000044244,2.0,197053.09817,547768.71329
03-0000037052,2.0,203461.48513,563055.43134
03-0000046825,2.0,197976.07812,546913.39116
03-0000060224,2.0,197968.69059,546882.55647
03-0000035229,2.0,199199.45576,546991.1033
03-0000016831,2.0,212639.31892,547799.40002
03-0000014795,2.0,212537.70288,547541.00861
03-0000015843,2.0,212795.08141,547446.33402
03-0000015724,2.0,211527.39542,549479.33959
03-0000015725,2.0,211528.96043,549497.77144
03-0000061832,2.0,190968.3125,548474.3125
03-0000025912,2.0,208266.66341,558453.34022
03-0000024237,2.0,206751.005,557348.06887
03-0000024293,2.0,205804.08246,558561.59779
03-0000024303,2.0,208763.71397,554900.65537
03-0000024313,2.0,209567.83171,555648.20271
03-0000024323,2.0,207977.61965,556068.38722
03-0000024332,2.0,208094.16231,556164.63972
03-0000020383,2.0,186890.79762,550040.65173
03-0000020412,2.0,185672.9453,552332.75619
03-0000024352,2.0,206240.13854,559044.39036
03-0000052108,2.0,199594.34444,544862.46831
03-0000060232,2.0,199782.36033,544646.80322
03-0000060233,2.0,199774.25359,544634.46426
03-0000054894,2.0,197026.90863,546916.49845
03-0000030387,2.0,196989.11177,546793.26835
03-0000046864,2.0,189741.84491,544296.80301
03-0000046867,2.0,189733.5419,544246.56229
03-0000043527,2.0,189694.92994,544168.39752
03-0000001412,4.0,203401.78517,559243.76175
03-0000060675,2.0,215863.29688,551903.625
03-0000046232,2.0,189701.27696,541901.25857
03-0000020618,2.0,201727.73438,551796.25
03-0000062608,2.0,201755.16485,551782.10108
03-0000062620,2.0,195017.14029,554730.70528
03-0000008607,2.0,193739.0353,552506.257
03-0000008617,2.0,196119.2854,549554.77554
03-0000008636,2.0,190245.36944,543840.22347
03-0000022644,2.0,203766.96348,554642.57847
03-0000025401,2.0,191589.82975,540017.71959
03-0000048060,2.0,192861.60626,540544.21632
03-0000048060,2.0,192847.16405,540492.94239
03-0000048062,2.0,192841.26369,540541.62901
03-0000048062,2.0,192844.70921,540540.68203
03-0000048065,2.0,192846.70748,540483.64761
03-0000044695,2.0,191610.763,539873.09686
03-0000004384,2.0,191586.35278,540028.42175
03-0000050331,2.0,192259.35606,539433.05935
03-0000062623,2.0,195065.23318,554731.02196
03-0000062626,2.0,192841.88063,553202.57265
03-0000062627,2.0,192829.09769,553220.27068
03-0000062629,2.0,196661.69762,548307.31548
03-0000017985,2.0,196659.10446,548346.06331
03-0000049526,2.0,195939.09672,544011.32262
03-0000062799,2.0,195978.37986,544026.0762
03-0000003506,2.0,182777.2004,551002.86209
03-0000022103,2.0,206066.43151,553229.85343
03-0000008943,2.0,191459.36067,544198.15879
03-0000008953,2.0,199725.17062,552361.57882
03-0000008961,2.0,185916.82928,543693.66625
03-0000022098,2.0,206022.55503,553244.89191
03-0000049226,2.0,193041.60422,560621.89082
03-0000016049,2.0,196966.58661,549509.30019
03-0000016077,2.0,200121.3565,548733.35831
03-0000016117,2.0,203462.66114,558791.4189
03-0000016165,2.0,197356.22899,549960.61575
03-0000016184,2.0,200600.09024,549802.9759
03-0000050231,2.0,203956.6985,549317.65
03-0000014049,2.0,208875.47457,543238.79384
03-0000060814,2.0,210962.18021,547801.14077
03-0000016304,2.0,210947.78439,547787.7732
03-0000060815,2.0,210956.49297,547767.30335
03-0000011589,2.0,202617.67188,542726.21875
03-0000026346,2.0,202015.80876,559949.02012
03-0000026411,2.0,205458.30434,562848.2534
03-0000049224,2.0,193065.61614,560625.47979
03-0000018398,2.0,191159.98438,545451.78125
03-0000018485,2.0,184717.4675,548899.18244
03-0000018495,2.0,201289.86697,551320.50174
03-0000027340,2.0,189729.76097,552942.64943
03-0000020967,2.0,206029.1903,553138.69337
03-0000009507,2.0,193693.63582,556970.13232
03-0000009517,2.0,193332.18386,557107.74612
03-0000031482,2.0,207529.44713,552821.45993
03-0000024023,2.0,207526.87581,552841.38659
03-0000022728,2.0,205496.11328,556825.60022
03-0000022756,2.0,202994.20643,555688.8508
03-0000022821,2.0,202683.60085,556540.2623
03-0000022841,2.0,202972.63827,556794.14715
03-0000022868,2.0,204137.22518,554668.29529
03-0000023181,2.0,208465.45364,557199.38528
03-0000062420,2.0,202286.50088,549982.80575
03-0000023449,2.0,208383.35784,557269.68052
03-0000023446,2.0,208399.25363,557246.70037
03-0000023010,2.0,202540.92384,556406.29421
03-0000024804,2.0,206823.95522,559850.53414
03-0000027525,2.0,189728.61364,553929.15878
03-0000048489,2.0,212201.65776,549089.48171
03-0000027600,2.0,189626.20384,554596.00947
03-0000027609,2.0,199761.98133,553074.57178
03-0000027660,2.0,201716.23236,555890.25228
03-0000060163,4.0,191565.33003,539004.43143
03-0000016542,2.0,201673.68911,551078.87239
03-0000027542,2.0,208500.28049,557033.51233
03-0000024528,2.0,205284.15578,559451.11481
03-0000024608,2.0,206404.44701,557605.55271
03-0000045931,2.0,185622.55934,550728.8627
03-0000024636,2.0,206736.09987,560520.50565
03-0000024655,2.0,206335.76014,561731.34426
03-0000024739,2.0,205972.00912,559123.89555
03-0000015576,2.0,211431.47903,550673.90328
03-0000034568,2.0,208943.4927,540658.01878
03-0000034623,2.0,204626.13446,546192.74082
03-0000050314,2.0,193365.61467,543712.29204
03-0000047000,2.0,192598.875,544177.3125
03-0000049511,2.0,192947.18151,544530.56128
03-0000049512,2.0,192108.62292,543900.04493
03-0000060163,2.0,191551.16154,539008.14761
03-0000019801,2.0,187868.56491,551189.91121
03-0000019864,2.0,202643.26216,551617.1142
03-0000019882,2.0,202861.00922,551522.00078
