부착대관리번호,신호등종류,X좌표,Y좌표
03-0000014431,2.0,205707.22764,546158.69176
03-0000014434,2.0,205667.95376,546173.30936
03-0000047214,2.0,191270.73438,539283.34375
03-0000013121,2.0,208652.62186,542941.76635
03-0000013131,2.0,208207.68187,542793.46344
03-0000013139,2.0,203051.55454,545201.87643
03-0000015108,2.0,212188.89094,544696.06485
03-0000015781,2.0,212132.41256,549626.68302
03-0000015782,2.0,212118.33386,549646.82656
03-0000024540,2.0,206243.02603,558363.2763
03-0000024544,2.0,206374.4516,558143.38494
03-0000024548,2.0,206354.79351,558275.63254
03-0000012090,2.0,189090.62854,545166.05039
03-0000013710,2.0,204403.68166,544851.65315
03-0000013716,2.0,204336.25559,544976.07635
03-0000013722,2.0,204331.96602,545041.89744
03-0000017925,2.0,204606.74239,549597.66927
03-0000017927,2.0,204373.33156,549341.85755
03-0000017930,2.0,204395.84154,549423.53889
03-0000017932,2.0,204369.98025,549404.23889
03-0000017731,2.0,211594.07842,547720.01164
03-0000017734,2.0,189396.94893,549148.38223
03-0000019172,2.0,189259.83483,548370.73949
03-0000019173,2.0,189268.23483,548377.11331
03-0000019174,2.0,190842.74099,548597.75967
03-0000048415,2.0,194927.95313,551395.03125
03-0000043628,2.0,203340.63572,557069.25616
03-0000019184,2.0,189450.36798,548220.19971
03-0000025884,2.0,207643.15872,558322.98092
03-0000025895,2.0,207605.24528,558363.61743
03-0000017742,2.0,203005.45187,551401.54692
03-0000017755,2.0,205149.80855,546790.82034
03-0000017756,2.0,205162.48717,546796.1032
03-0000017759,2.0,205179.87273,546779.43327
03-0000048288,2.0,187044.70208,550353.44265
03-0000017764,2.0,196295.48448,549034.70048
03-0000017562,2.0,212303.84424,548415.50583
03-0000017563,2.0,212421.24663,548237.99955
03-0000018258,2.0,202263.34044,551720.9216
03-0000018263,2.0,202260.40625,551730.0
03-0000029316,2.0,198772.91397,544880.82244
03-0000008706,2.0,198764.95853,544841.2656
03-0000053699,2.0,198164.48811,552151.91512
03-0000053785,2.0,211867.09005,542999.93457
03-0000046513,2.0,197937.56757,551707.27643
03-0000045129,2.0,197879.54424,551208.65763
03-0000045131,2.0,197867.2884,551173.68626
03-0000045134,2.0,197849.73841,551138.32625
03-0000045132,2.0,197873.30111,551143.75121
03-0000005210,2.0,197888.86548,551017.59685
03-0000008854,2.0,197886.4571,550965.36879
03-0000028558,2.0,197580.6383,550792.98977
03-0000033255,2.0,198103.36244,550748.20651
03-0000006086,2.0,198182.76076,550727.40006
03-0000033795,2.0,197960.5798,550631.1408
03-0000050770,2.0,189109.39063,545140.40625
03-0000019403,2.0,196965.71714,548250.31101
03-0000019406,2.0,184964.94138,552578.20192
03-0000019416,2.0,191902.93349,547578.4363
03-0000019424,2.0,191990.93181,547332.85695
03-0000007424,2.0,199218.71207,549433.11468
03-0000043750,2.0,209542.55444,550004.30544
03-0000016208,2.0,208823.62344,549019.0111
03-0000045750,2.0,189697.875,545140.625
03-0000009481,2.0,185920.8706,551523.22759
03-0000015696,2.0,212797.27909,550816.68429
03-0000045776,2.0,189952.12172,545385.0026
03-0000015710,2.0,202538.52729,560153.68016
03-0000034445,2.0,204209.8105,542137.20271
03-0000016396,2.0,212345.18947,549588.31556
03-0000024279,2.0,208679.14523,556277.40073
03-0000042978,2.0,190055.46875,548220.03125
03-0000029833,2.0,211209.70931,541942.66311
03-0000045531,2.0,191309.94318,550806.39531
03-0000045555,2.0,196940.65111,547396.93673
03-0000045569,2.0,200257.04242,549779.12955
03-0000050474,2.0,204332.44968,542179.16576
03-0000052353,2.0,197622.00819,550743.24493
03-0000052354,2.0,197600.55265,550733.67674
03-0000043820,2.0,191115.61312,542666.38394
03-0000052752,2.0,191131.77368,542660.52033
03-0000043823,2.0,191117.24075,542638.97676
03-0000052754,2.0,191129.94625,542633.78071
03-0000012075,2.0,200552.01594,545922.46781
03-0000041762,2.0,200540.358,545909.45434
03-0000010883,2.0,191204.32496,541312.58747
03-0000033818,2.0,190226.9837,540819.65888
03-0000009014,2.0,190232.69977,540768.98349
03-0000053396,2.0,204026.86849,554135.33427
03-0000053397,2.0,204010.06934,554150.34663
03-0000009227,2.0,190359.49258,539508.19728
03-0000033857,2.0,190387.59269,539488.4276
03-0000009229,2.0,190380.139,539472.48748
03-0000023445,2.0,208421.86855,557295.74324
03-0000046626,2.0,208372.92013,557342.00687
03-0000029521,2.0,208403.06364,557367.51855
03-0000023938,2.0,205586.82452,557760.30645
03-0000029614,2.0,202006.6875,545785.875
03-0000029668,2.0,203020.5976,543701.60611
03-0000029740,2.0,203693.81256,546314.46811
03-0000045857,2.0,211066.69273,549056.33451
03-0000021598,2.0,190870.99433,548102.43473
03-0000022699,2.0,204365.22353,556351.58418
03-0000048743,2.0,201365.50346,556522.17999
03-0000034391,2.0,202784.81451,545250.26491
03-0000042733,2.0,202572.95313,557712.34375
03-0000061539,2.0,197610.01667,551120.86666
03-0000034824,2.0,215132.31109,549644.64175
03-0000046000,2.0,200164.88768,552263.71183
03-0000046667,2.0,194420.92555,561211.7358
03-0000001902,2.0,204564.39271,561221.78327
03-0000041486,2.0,195188.90719,543052.06809
03-0000045701,2.0,188023.01563,544259.0625
03-0000044383,2.0,204891.06114,547084.81
03-0000022247,2.0,190221.87707,540791.67878
03-0000010687,2.0,190546.28125,540796.0625
03-0000010607,2.0,190581.48438,540792.53125
03-0000010621,2.0,190659.53142,540803.0631
03-0000052082,2.0,190720.3125,540785.875
03-0000009018,2.0,191115.125,540785.21875
03-0000008988,2.0,191130.98438,540787.8125
03-0000011021,2.0,190400.91162,540321.63476
03-0000022248,2.0,190409.91901,540277.94583
03-0000009129,2.0,190394.43119,540297.38049
03-0000025045,2.0,206448.06068,557922.03491
03-0000018463,2.0,208326.824,548522.88983
03-0000018564,2.0,208364.9269,548533.90451
03-0000008516,2.0,196741.75253,545586.24367
03-0000052398,2.0,196749.14107,545568.92451
03-0000052400,2.0,196748.5548,545569.78131
03-0000050958,2.0,203710.37075,550873.00179
03-0000021346,2.0,204227.39436,560997.8621
03-0000053813,2.0,204209.66114,560992.27239
03-0000004311,2.0,204217.14266,560968.07521
03-0000004311,2.0,204216.017,560971.63619
03-0000038287,2.0,204371.8933,565110.17672
03-0000052426,2.0,192661.5,559708.65625
03-0000052429,2.0,192678.68381,559724.68373
03-0000052432,2.0,192675.76563,559657.96875
03-0000052434,2.0,192671.96875,559657.8125
03-0000052437,2.0,192658.5,559641.0
03-0000052438,2.0,192679.23883,559927.51094
03-0000052441,2.0,192635.92623,559917.01094
03-0000052444,2.0,192656.17188,559959.15625
03-0000052446,2.0,192622.96875,560000.0
03-0000011756,2.0,194700.51548,549570.67185
03-0000010374,2.0,194664.07484,549553.61777
03-0000047036,2.0,191534.90105,543031.3125
03-0000041363,2.0,190969.25219,543122.45321
03-0000041364,2.0,190949.81817,541113.42319
03-0000041417,2.0,209635.13614,544070.0142
03-0000050357,2.0,201376.93075,553458.79985
03-0000050360,2.0,201364.39861,553342.60447
03-0000050362,2.0,201338.11573,553281.73426
03-0000025231,2.0,206871.45584,561235.25564
03-0000026401,2.0,205455.01635,563044.5956
03-0000009754,2.0,193512.46188,555570.46939
03-0000000016,2.0,193533.28688,555582.8944
03-0000010941,2.0,193940.7882,549498.32423
03-0000010950,2.0,191667.15172,539510.70507
03-0000010960,2.0,200188.06785,551938.97318
03-0000010970,2.0,191703.57583,539387.20879
03-0000047068,2.0,188665.67546,548612.29538
03-0000046176,2.0,208015.63712,544432.86407
03-0000046177,2.0,208360.28916,544268.06927
03-0000015584,2.0,206970.95313,549574.84375
03-0000015875,2.0,206632.17733,547911.13922
03-0000015876,2.0,206610.87733,547888.52269
03-0000053446,2.0,198425.98438,543163.25
03-0000053450,2.0,198476.07932,543473.60415
03-0000053451,2.0,198470.73557,543473.6979
03-0000011593,2.0,198460.06339,543515.72472
03-0000053458,2.0,198463.17943,543507.38003
03-0000053460,2.0,198464.67943,543525.18003
03-0000053794,2.0,211838.22905,542988.98381
03-0000053119,2.0,203044.53125,546723.125
03-0000053121,2.0,203058.70313,546722.28125
03-0000053291,2.0,195847.14562,549718.02468
03-0000025961,2.0,203604.93755,563082.52849
03-0000052451,2.0,192435.0,560438.875
03-0000007611,2.0,192455.28384,560438.48358
03-0000000519,2.0,192439.69759,560447.56742
03-0000009538,2.0,192429.04869,560404.97435
03-0000052453,2.0,192465.94477,560391.4617
03-0000052456,2.0,192484.98438,560393.03125
03-0000010529,2.0,199083.6051,544700.27653
03-0000032272,2.0,199071.99767,544697.35875
03-0000052098,2.0,199061.76699,544704.81576
03-0000052102,2.0,199089.54677,544719.91576
03-0000052104,2.0,199168.32059,544740.65694
03-0000052106,2.0,199189.76563,544727.5
03-0000041623,2.0,205615.45396,545481.88888
03-0000052551,2.0,205570.05912,545466.53889
03-0000006684,2.0,199841.00126,551418.88279
03-0000052553,2.0,199841.79425,551423.67245
03-0000006926,2.0,199856.64792,551482.99468
03-0000022053,2.0,202037.27152,552947.79281
03-0000022052,2.0,202065.35029,552949.47414
03-0000022955,5.0,202059.81478,552900.33632
03-0000036305,5.0,202059.12345,552865.03995
03-0000033563,2.0,191694.08199,552736.60738
03-0000033718,2.0,193149.16959,555920.20404
03-0000033922,2.0,193776.80549,558712.87049
03-0000033979,2.0,187140.58048,551115.28811
03-0000034085,2.0,202797.8881,541646.2597
03-0000034130,2.0,192744.62091,538949.48407
03-0000034150,2.0,192412.17646,550848.80438
03-0000030393,2.0,212267.52574,548404.0828
03-0000027348,2.0,191829.20793,551713.62871
03-0000048386,2.0,192715.82972,544207.4257
03-0000027409,2.0,190613.95912,553000.28293
03-0000047943,2.0,186412.94559,544686.72872
03-0000042094,2.0,198050.67331,551579.84939
03-0000042095,2.0,198028.08233,551597.22995
03-0000048325,2.0,208328.23803,545300.57871
03-0000046432,2.0,202650.28291,551753.58726
03-0000047069,2.0,188695.3476,548614.83088
03-0000003158,2.0,204308.86217,546872.40439
03-0000045323,2.0,204588.39063,554077.21875
03-0000045328,2.0,204603.82813,554088.21875
03-0000044917,2.0,211222.69073,541147.66531
03-0000052518,2.0,203578.06505,560318.72315
03-0000052520,2.0,203568.14839,560324.02315
03-0000025128,2.0,206589.28485,557955.16141
03-0000001957,2.0,203571.65679,560464.08018
03-0000053161,2.0,194489.09555,550188.63666
03-0000053162,2.0,194501.47722,550219.28499
03-0000053163,2.0,194469.5261,550242.59331
03-0000009727,2.0,194442.00337,550376.80369
03-0000025055,2.0,205633.60076,560407.50683
03-0000048301,2.0,185005.81941,543969.00013
03-0000025125,2.0,206498.20012,558199.37301
03-0000025154,2.0,206537.33658,561670.30267
03-0000025221,2.0,206597.72382,561222.68605
03-0000025249,2.0,202711.85244,562508.55972
03-0000025259,2.0,202756.49825,562490.01171
03-0000025293,2.0,206911.26033,561764.86805
03-0000045243,2.0,206620.85316,554907.13565
03-0000033229,2.0,192169.86933,556945.65985
03-0000008800,2.0,192760.68629,556297.50794
03-0000029132,2.0,192793.71129,556296.35794
03-0000008817,2.0,192854.01129,556378.23294
03-0000009416,2.0,192882.97796,556392.73294
03-0000009557,2.0,194012.81888,557180.35812
03-0000009556,2.0,194030.16888,557195.53654
03-0000002346,2.0,194076.03803,557363.79321
03-0000009588,2.0,194087.63803,557377.58289
03-0000004156,2.0,193518.82556,555563.03134
03-0000026656,2.0,203120.32403,559622.42974
03-0000023218,2.0,207621.25176,552485.47385
03-0000023214,2.0,207600.65177,552478.42395
03-0000029781,2.0,205466.5933,543102.41045
03-0000045022,2.0,206705.34882,562559.50404
03-0000045004,2.0,202934.55208,555973.38696
03-0000045379,2.0,204733.49021,554309.5058
03-0000045451,2.0,191358.21726,548276.9257
03-0000045452,2.0,191386.46828,548249.70878
03-0000045454,2.0,191393.18826,548219.4768
03-0000045468,2.0,190957.82737,548523.1583
03-0000041516,2.0,201354.56064,555201.84588
03-0000041299,2.0,192158.01726,547347.51624
03-0000041303,2.0,191657.81774,547963.40528
03-0000038234,2.0,200506.29799,554387.48043
03-0000048258,2.0,202159.0008,551393.36143
03-0000047801,2.0,206394.46646,554970.21736
03-0000047803,2.0,206409.36407,554934.98004
03-0000046810,2.0,196291.3125,552747.78125
03-0000012684,2.0,202521.43668,542723.80767
03-0000012729,2.0,203849.32273,544269.29431
03-0000012749,2.0,204953.8125,544216.46875
03-0000052555,2.0,189261.91643,542420.65937
03-0000052558,2.0,189245.5306,542428.76524
03-0000010134,2.0,197457.3705,553324.8783
03-0000011629,2.0,190070.26587,541265.84844
03-0000009041,2.0,190063.01915,541244.48803
03-0000003699,2.0,201150.3999,558073.85957
03-0000024545,2.0,206382.58002,558170.34102
03-0000024616,2.0,206417.44259,557626.38647
03-0000036818,2.0,205925.87088,559180.37584
03-0000026114,2.0,206884.77074,560935.26677
03-0000026113,2.0,206967.21109,560949.93278
03-0000025219,2.0,206572.77619,561242.75021
03-0000013348,2.0,203112.50801,546248.75213
03-0000049163,2.0,204366.56825,565353.52577
03-0000029443,2.0,184648.06951,552625.53644
03-0000029465,2.0,192073.18044,555403.77257
03-0000019339,2.0,186192.34208,551983.63538
03-0000019543,2.0,192226.60795,546511.67314
03-0000020113,2.0,185927.76719,551910.47331
03-0000020272,2.0,187156.28276,547570.35668
03-0000020375,2.0,186661.09375,550198.875
03-0000020999,2.0,199169.219,553086.875
03-0000021194,2.0,191270.79045,548297.95614
03-0000013120,2.0,203381.44936,544257.31878
03-0000003507,2.0,200497.31268,552848.31244
03-0000045175,2.0,204739.53086,543235.22881
03-0000045177,2.0,204781.38822,543259.26783
03-0000045181,2.0,204747.04807,543257.78224
03-0000045201,2.0,206841.16679,556881.75279
03-0000045277,2.0,204064.07813,553453.1875
03-0000012833,2.0,202937.75,543398.28125
03-0000002397,2.0,204974.21371,553332.16009
03-0000021495,2.0,206748.26361,553013.59496
03-0000021556,2.0,203729.43947,552382.27472
03-0000025229,2.0,206672.67292,561223.92725
03-0000036913,2.0,206644.60021,561241.02619
03-0000052624,2.0,192800.19093,559770.19515
03-0000052630,2.0,192835.22593,559959.04634
03-0000052632,2.0,192834.87504,559937.88725
03-0000052448,2.0,192627.91704,559947.21146
03-0000031111,2.0,204631.03308,560707.69581
03-0000044875,2.0,209593.41992,556229.20281
03-0000042463,2.0,194208.5817,551217.95633
03-0000028307,2.0,192641.40304,555577.93995
03-0000052072,4.0,209163.62124,556979.09091
03-0000052320,5.0,208927.75931,556835.98105
03-0000041317,2.0,192098.85153,547362.98967
03-0000052887,2.0,193797.62317,556817.43935
03-0000052887,2.0,193793.14063,556815.78125
03-0000009499,2.0,193774.75,556811.0
03-0000052888,2.0,193757.5,556831.34375
03-0000052890,2.0,199726.84537,544433.41441
03-0000052892,2.0,199711.70699,544460.18199
03-0000052897,2.0,199707.80738,544518.01016
03-0000052898,2.0,199699.76533,544494.22209
03-0000051866,2.0,200973.09375,552476.78125
03-0000051869,2.0,200968.32813,552461.0
03-0000023653,2.0,205644.6107,555928.85492
03-0000041705,2.0,187832.86539,549409.99753
03-0000041708,2.0,187809.75826,549381.9678
03-0000041718,2.0,201162.02309,544159.45935
03-0000053388,2.0,198409.53428,551181.58224
03-0000011618,2.0,189773.01451,544810.38872
03-0000053516,2.0,189777.07076,544801.24595
03-0000019389,2.0,189789.25637,544824.87474
03-0000009132,2.0,189792.10288,544808.66059
03-0000009131,2.0,189801.27582,544807.09653
03-0000053519,2.0,189829.36945,544827.02287
03-0000027552,2.0,196697.70385,551170.58009
03-0000027581,2.0,191665.13188,552569.04903
03-0000021582,2.0,200207.07076,553250.79404
03-0000045352,2.0,208029.4097,555342.73033
03-0000048643,2.0,196241.375,550581.21875
03-0000028008,2.0,203528.89866,555567.93257
03-0000029386,2.0,191852.37018,557420.68593
03-0000024375,2.0,208432.28836,556234.43232
03-0000050349,2.0,199895.76878,553741.31818
03-0000029857,2.0,208530.81294,544191.14068
03-0000029907,2.0,210083.88563,545525.43803
03-0000052323,5.0,208949.32809,556862.65592
03-0000009817,2.0,196994.65014,542432.83141
03-0000029607,2.0,201469.44607,546835.29583
03-0000029606,2.0,201428.44894,546811.49207
03-0000008754,2.0,194815.95476,545069.92862
03-0000011248,2.0,194803.03125,545079.46875
03-0000053281,2.0,206128.35938,550225.625
03-0000053285,2.0,206121.1875,550235.375
03-0000033086,2.0,198316.29637,551156.82386
03-0000026328,2.0,203938.31733,560512.97204
03-0000027447,2.0,188630.3277,548574.2045
03-0000028954,2.0,204057.83292,558191.76609
03-0000006000,2.0,194974.70798,556743.15091
03-0000006310,2.0,194969.35393,556720.23892
03-0000007561,2.0,194999.81788,556736.94006
03-0000006300,2.0,195007.76458,556711.4793
03-0000006295,2.0,195015.66419,556710.80461
03-0000002608,2.0,202213.38435,553328.9447
03-0000048784,2.0,187008.3801,544951.43224
03-0000002627,2.0,207020.04047,558204.71667
03-0000035473,2.0,196312.85375,548999.75468
03-0000009843,2.0,192075.44952,555812.56746
03-0000045601,2.0,192069.61764,555649.21494
03-0000045602,2.0,192082.88702,555669.149
03-0000042625,2.0,202714.32051,543549.3406
03-0000046025,2.0,203344.08542,552570.66702
03-0000012271,2.0,189836.96875,543074.59375
03-0000012313,2.0,201942.50973,544715.09757
03-0000012359,2.0,204156.30946,545321.7601
03-0000012379,2.0,203171.31067,545395.77049
03-0000012384,2.0,201551.00315,542597.34278
03-0000009593,2.0,192291.28355,557268.96691
03-0000009370,2.0,192314.78354,557280.25745
03-0000023607,2.0,207759.52071,555290.29527
03-0000023711,2.0,207867.18296,557345.19775
03-0000024797,2.0,202996.82267,557446.31901
03-0000049235,6.0,207552.70925,545817.89058
03-0000025002,2.0,202653.99403,557511.53548
03-0000044200,2.0,196568.80018,545216.49139
03-0000044201,2.0,196588.07818,545219.29212
03-0000043078,2.0,184939.20262,544117.67584
03-0000025125,2.0,206499.46875,558198.8125
03-0000030031,2.0,200560.31583,548198.22049
03-0000020005,2.0,192735.42091,538928.64876
03-0000010805,2.0,192754.76563,538937.8125
03-0000033929,2.0,192727.80763,538944.58662
03-0000034147,2.0,192782.89063,538948.53125
03-0000010812,2.0,192885.92732,538949.33794
03-0000045245,2.0,206611.79688,554907.53125
03-0000026552,2.0,201133.94876,558061.94605
03-0000026553,2.0,201130.57616,558053.07205
03-0000026586,2.0,201138.55432,558248.02558
03-0000026148,2.0,204295.52886,562534.90633
03-0000031838,2.0,204312.65231,562505.2497
03-0000013409,2.0,203107.45475,546518.70811
03-0000013418,2.0,210046.22478,542963.35069
03-0000050347,2.0,207768.08863,557718.7504
03-0000043292,2.0,208003.3093,557584.78909
03-0000026719,2.0,205790.10225,562434.65854
03-0000026728,2.0,205754.15824,562236.34074
03-0000026756,2.0,205281.78368,563198.25567
03-0000026786,2.0,193207.78607,549979.57543
03-0000026800,2.0,187229.02615,551626.8803
03-0000026838,2.0,201134.85767,559682.99078
03-0000034162,2.0,192070.77818,557202.05047
03-0000050035,2.0,192097.25846,555364.39674
03-0000050038,2.0,202794.54046,555975.05889
03-0000025243,2.0,206755.54546,561054.17676
03-0000025736,2.0,202001.3172,561989.83797
03-0000026122,2.0,201745.04852,558119.72182
03-0000026222,2.0,202814.59771,559692.89242
03-0000026548,2.0,201693.85673,544533.51837
03-0000027306,2.0,194094.85321,557573.83213
03-0000037994,2.0,195766.28062,546174.77476
03-0000038045,2.0,195400.96886,562258.0654
03-0000046848,2.0,197377.43913,553953.86187
03-0000036682,2.0,207434.3232,552611.7115
03-0000021630,2.0,207314.8,552122.34852
03-0000021627,2.0,207317.48406,552140.94768
03-0000036271,2.0,202681.34883,553262.70342
03-0000028887,2.0,202738.76587,561268.25745
03-0000008996,2.0,202875.74862,561280.79712
03-0000034785,2.0,202925.90956,561269.86672
03-0000030483,2.0,202638.425,561242.04862
03-0000026346,2.0,202013.43854,559948.62273
03-0000026344,2.0,201998.49312,559920.69233
03-0000026640,2.0,202028.71954,559803.65984
03-0000026333,2.0,201999.31217,560130.53058
03-0000009073,2.0,191099.70313,543272.15625
03-0000009081,2.0,191072.28125,543258.46875
03-0000029168,2.0,191262.26563,543467.59375
03-0000027066,2.0,202230.59377,559478.86695
03-0000037105,2.0,202813.69962,559510.88366
03-0000071326,2.0,195117.81889,548835.14316
03-0000025342,2.0,202074.4263,562459.47475
03-0000025375,2.0,204714.06579,561634.21615
03-0000025376,2.0,204694.38424,561616.76197
03-0000042034,2.0,204684.25585,561813.80572
03-0000037785,2.0,206507.6975,561528.56255
03-0000037792,2.0,200685.21401,542670.43741
03-0000037869,2.0,202160.6625,549464.94669
03-0000014899,2.0,201759.56814,560609.36368
03-0000014901,2.0,210586.07522,545925.41508
03-0000014965,2.0,213023.58629,544502.74642
03-0000014994,2.0,213079.65562,550579.78692
03-0000015013,2.0,212117.12385,545132.37761
03-0000048306,2.0,187552.49349,545216.14575
03-0000015069,2.0,211397.51029,548594.8361
03-0000015097,2.0,198951.25452,548251.25286
03-0000049016,2.0,203865.10667,546445.3268
03-0000009382,2.0,193340.68004,557886.12009
03-0000047704,2.0,183794.22116,550202.74166
03-0000050146,2.0,190977.85846,548548.66467
03-0000048565,2.0,189845.09088,544837.82825
03-0000053520,2.0,189821.51269,544841.60287
03-0000053531,2.0,211354.42188,547136.4375
03-0000035124,2.0,211369.89063,547120.59375
03-0000021664,2.0,186314.74205,551404.05659
03-0000021720,2.0,203389.96875,553353.0625
03-0000021793,2.0,206475.61386,554552.89727
03-0000049936,2.0,192235.10924,546523.49695
03-0000019539,2.0,192206.60555,546546.05115
03-0000049941,2.0,192201.00555,546543.45115
03-0000019545,2.0,192237.72171,546533.90559
03-0000019546,2.0,192250.1247,546540.38677
03-0000019227,2.0,192226.42218,546560.93296
03-0000049943,2.0,192241.08226,546560.80507
03-0000033296,2.0,195021.34322,556711.02533
03-0000030005,2.0,211406.34541,543034.67161
03-0000024663,2.0,204667.17845,561806.05945
03-0000026339,2.0,204405.67581,562282.26163
03-0000026338,2.0,204427.52729,562243.17917
03-0000026311,2.0,204410.59414,562191.55459
03-0000012788,2.0,202774.91969,544393.74368
03-0000031758,2.0,201233.1642,562120.12467
03-0000025660,2.0,201205.89224,562088.38392
03-0000029336,2.0,201139.9574,561599.61642
03-0000025868,2.0,187092.79117,546451.61567
03-0000025954,2.0,201176.67915,561215.23281
03-0000025964,2.0,203618.23755,563063.49916
03-0000025336,2.0,206866.85986,562913.89075
03-0000025395,2.0,205183.0703,561242.35109
03-0000025472,2.0,203703.38538,561106.40364
03-0000025489,2.0,207234.64527,560727.42715
03-0000010551,2.0,190601.39781,542130.41205
03-0000030907,2.0,183329.17943,552688.54826
03-0000026633,2.0,201413.74217,560885.34908
03-0000041321,2.0,192421.91405,544145.02152
03-0000043110,2.0,197764.95288,546700.32012
03-0000012474,2.0,200915.61046,546415.80861
03-0000041596,2.0,206652.48849,552093.58935
03-0000038303,2.0,183777.43823,551288.80448
03-0000000947,2.0,206130.25733,559983.064
03-0000048057,2.0,192867.11366,540633.16655
03-0000030299,2.0,199920.10093,548434.50832
03-0000030598,2.0,202503.1802,561180.14444
03-0000030942,2.0,186550.13981,547792.25769
03-0000031024,2.0,205100.16937,552833.95324
03-0000042018,2.0,196386.71219,542975.90081
03-0000042068,2.0,197960.44865,551949.37739
03-0000042070,2.0,197999.08797,551967.30713
03-0000041635,2.0,204105.35778,563291.69166
03-0000041636,2.0,204068.23722,563298.23307
03-0000041702,2.0,192045.80409,544919.67406
03-0000041733,2.0,201082.80452,544436.24598
03-0000041735,2.0,201099.42993,544340.25302
03-0000041736,2.0,201126.30298,544352.4001
03-0000041737,2.0,201131.50298,544327.66122
03-0000041741,2.0,201136.61135,544146.95935
03-0000041806,2.0,195457.6869,555011.55816
03-0000050245,2.0,206800.57138,550962.70965
03-0000008859,2.0,193205.64754,552645.78194
03-0000050954,2.0,195296.1,554987.5477
03-0000050947,2.0,195278.66,554996.45965
03-0000050949,2.0,195288.08,555012.21965
03-0000050951,2.0,195304.22,555002.43965
03-0000051989,2.0,192634.87512,552827.61445
03-0000051986,2.0,192644.42467,552830.98965
03-0000046652,2.0,194604.36423,560830.47568
03-0000053359,2.0,196827.58932,550369.00109
03-0000053361,2.0,196816.67958,550381.31951
03-0000053363,2.0,196337.48883,549788.30883
03-0000037465,2.0,200133.64063,553796.46875
03-0000021575,2.0,201118.47053,553549.86712
03-0000021573,2.0,201098.60817,553550.42682
03-0000050351,2.0,201146.07422,553543.38689
03-0000053700,2.0,198464.7375,552180.46222
03-0000029189,2.0,198494.8125,552173.3125
03-0000006119,2.0,195267.95719,555346.59625
03-0000008307,2.0,193983.88888,556981.03849
03-0000033897,2.0,193980.93856,556965.74
03-0000012234,2.0,201924.37468,542615.50633
03-0000012261,2.0,190056.41678,542986.71079
03-0000011426,2.0,194369.39984,550616.03942
03-0000011445,2.0,193978.73651,550804.52826
03-0000011455,2.0,202827.31299,541249.19188
03-0000020004,2.0,206923.44714,551239.38461
03-0000035908,2.0,206931.91482,551247.09216
03-0000009979,2.0,206267.00569,550037.77109
03-0000029280,2.0,206259.86877,550022.34604
03-0000000588,2.0,206289.59989,550172.65705
03-0000041793,2.0,210727.14093,547535.66538
03-0000041798,2.0,212610.40355,546115.09813
03-0000029296,2.0,196267.2311,555559.30952
03-0000047420,2.0,192844.02784,553197.16463
03-0000001133,2.0,191406.29138,551153.34593
03-0000047426,2.0,185631.73456,548450.4255
03-0000029029,2.0,204582.6104,552137.75325
03-0000025773,2.0,204056.93857,565305.81883
03-0000025791,2.0,202905.24659,562534.08804
03-0000025898,2.0,207546.31828,558180.06684
03-0000025917,2.0,208470.05859,558688.63204
03-0000025965,2.0,203782.64063,562907.78125
03-0000044527,2.0,195776.72451,542986.35044
03-0000053500,2.0,198727.32813,551842.3125
03-0000053502,2.0,195783.1848,547917.91616
03-0000025132,2.0,206440.11574,558419.4332
03-0000024558,2.0,206423.75234,558450.60255
03-0000053744,2.0,189714.01445,543595.80266
03-0000053745,2.0,185394.02457,546302.89834
03-0000029173,2.0,191180.42188,543360.9375
03-0000009078,2.0,191160.23438,543355.625
03-0000009166,2.0,198475.3125,552123.0938
03-0000045945,2.0,198731.83249,552073.14634
03-0000045944,2.0,198728.34105,552083.27768
03-0000048240,2.0,198898.89063,552091.28125
03-0000045949,2.0,198922.26546,552041.88782
03-0000025341,2.0,202076.45144,562446.10237
03-0000044897,2.0,201169.09589,556025.20593
03-0000029690,2.0,201848.15625,547103.71875
03-0000012959,2.0,201878.125,547112.6875
03-0000012970,2.0,201983.71941,547171.55789
03-0000047423,2.0,185635.10177,548472.51813
03-0000045851,2.0,211165.8125,549024.0625
03-0000022333,2.0,203638.66461,555848.34539
03-0000022390,2.0,200159.65958,556470.52656
03-0000015135,2.0,211996.54688,544471.21875
03-0000026076,2.0,202362.37792,560735.21059
03-0000045754,2.0,189691.69001,545152.56036
03-0000026144,2.0,205810.9265,562582.79972
03-0000026154,2.0,204612.24454,562443.79713
03-0000026199,2.0,211826.70708,545588.02712
03-0000048986,2.0,190437.11013,543361.13957
03-0000021482,2.0,190600.41354,547914.44891
03-0000036194,2.0,190586.91355,547922.34891
03-0000028406,2.0,193569.06335,543961.59488
03-0000027915,2.0,193537.68614,543659.09363
03-0000033107,2.0,198311.98385,551334.4104
03-0000033950,2.0,198810.23071,541927.7049
03-0000000049,2.0,192676.40304,555525.69464
03-0000046860,2.0,191405.53017,550215.52564
03-0000008900,2.0,191548.69058,543770.15455
03-0000033804,2.0,191528.14142,543769.49258
03-0000029155,2.0,191490.71547,543704.22631
03-0000008431,2.0,191470.61548,543706.12631
03-0000012125,2.0,191402.64063,544629.625
03-0000012129,2.0,191412.0625,544612.21875
03-0000023198,2.0,206270.76317,551284.51136
03-0000030924,2.0,188851.95313,546565.6875
03-0000028947,2.0,195051.90654,556741.09094
