구분,위도,경도
횡단보도,37.49525545592018,127.0450176682082
횡단보도,37.49447630674305,127.04489072881152
횡단보도,37.51269961154448,127.02696265268797
횡단보도,37.511674886741254,127.02592982001285
횡단보도,37.48958156350305,127.07114945874491
횡단보도,37.48942567011517,127.07123169741104
횡단보도,37.48795748507847,127.07250255484868
횡단보도,37.48788582400942,127.07266703838812
횡단보도,37.48827366402077,127.07201259606167
횡단보도,37.49717760278513,127.0593432222414
횡단보도,37.49714060838066,127.05944741426252
횡단보도,37.487275680815074,127.10396104282339
횡단보도,37.48307708859834,127.07989521883837
횡단보도,37.48473659575318,127.0806420875678
횡단보도,37.491856913949,127.08889012518749
횡단보도,37.492019221867324,127.08896164248151
횡단보도,37.49217074182644,127.08993792682769
횡단보도,37.52612884458306,127.0209271605262
횡단보도,37.52515787209089,127.02151089981378
횡단보도,37.524401531318404,127.02210307250185
횡단보도,37.4930026113658,127.07589618816425
횡단보도,37.493166135226915,127.07583046677948
횡단보도,37.493443401896265,127.074745707916
횡단보도,37.493600776370485,127.07425858961662
횡단보도,37.530320134879865,127.04147611804906
횡단보도,37.529084355305514,127.041025775893
횡단보도,37.51679115437256,127.03663318778133
횡단보도,37.51716463383858,127.03877805606442
횡단보도,37.5174112590744,127.03911896773612
횡단보도,37.51761935098674,127.03979241498689
횡단보도,37.508514169235035,127.06297962373584
횡단보도,37.49195354874345,127.06436411703501
횡단보도,37.49357337511173,127.06351101179078
횡단보도,37.52063548106073,127.03039094509369
횡단보도,37.50863543582274,127.06143092238362
횡단보도,37.50860063467318,127.06132336200005
횡단보도,37.5169184858376,127.02199146885154
횡단보도,37.51663312915143,127.02131074136501
횡단보도,37.516418867278084,127.0207601809361
횡단보도,37.517959289288605,127.02336838248523
횡단보도,37.51790738341099,127.02429472720267
횡단보도,37.51912992316002,127.0262313185764
횡단보도,37.51876914906213,127.02638282941547
횡단보도,37.52001565596824,127.02830294606176
횡단보도,37.52104820143681,127.03166837449189
횡단보도,37.520156516558245,127.03424329531768
횡단보도,37.498834373332414,127.0298228878654
횡단보도,37.500322241146414,127.03464678711852
횡단보도,37.500976094030676,127.03711076582633
횡단보도,37.50079237034254,127.03719805472984
횡단보도,37.501938999571394,127.04130109467302
횡단보도,37.51322958876189,127.05241980126004
횡단보도,37.51333795012834,127.0523822673174
횡단보도,37.51339953433555,127.05252677168585
횡단보도,37.51349760882684,127.05175513162973
횡단보도,37.51436128299399,127.0511101185796
횡단보도,37.514209579068456,127.05130660549278
횡단보도,37.513421312167644,127.05185420658457
횡단보도,37.51351639822255,127.05189498556
횡단보도,37.51356767216067,127.05170000486659
횡단보도,37.51355793052972,127.05148224956292
횡단보도,37.51379150440276,127.05144090583676
횡단보도,37.51385845640539,127.05131946276178
횡단보도,37.51370597492393,127.05140989847592
횡단보도,37.51427399951257,127.05116249543482
횡단보도,37.46863398070998,127.11978599170196
횡단보도,37.516976982579926,127.04675455843001
횡단보도,37.51615965431987,127.0469556913746
횡단보도,37.51607057202475,127.04706593737616
횡단보도,37.51604493326115,127.04688867501423
횡단보도,37.51595115807664,127.04700474011125
횡단보도,37.51686884479255,127.0468750478811
횡단보도,37.5168705943868,127.04665141386302
횡단보도,37.5177472422826,127.04644838249985
횡단보도,37.51740212252585,127.04653702761526
횡단보도,37.517144884313986,127.04679472012774
횡단보도,37.51552798850741,127.0487712397499
횡단보도,37.51747406112064,127.04661427250481
횡단보도,37.52053156569798,127.05552191405316
횡단보도,37.51420763324538,127.06577021979292
횡단보도,37.511426881432655,127.06540757283653
횡단보도,37.511426881432655,127.06540757283653
횡단보도,37.51076610526335,127.06327428726208
횡단보도,37.5160035047768,127.06606956525783
횡단보도,37.516570530151675,127.06610942312493
횡단보도,37.517253603564754,127.04527256075285
횡단보도,37.510908424151715,127.06377470571294
횡단보도,37.47632269258351,127.04991670495954
횡단보도,37.48609691212923,127.03943184172647
횡단보도,37.50746116848928,127.06779740072342
횡단보도,37.50211525233315,127.03954220181518
횡단보도,37.484834312095195,127.03494750860075
횡단보도,37.48203838523797,127.0594544635552
횡단보도,37.525805049720724,127.04753082913838
횡단보도,37.525165624950944,127.047814280651
횡단보도,37.49025245058299,127.05576261457982
횡단보도,37.46878335351537,127.11958381534718
횡단보도,37.46894933908933,127.11964360607244
횡단보도,37.46985379153219,127.11907778060849
횡단보도,37.50937195941719,127.03660115351775
횡단보도,37.509403248420064,127.03644996369974
횡단보도,37.50933260323926,127.03643578848867
횡단보도,37.50928342791903,127.03658423021129
횡단보도,37.49039150133483,127.06167039926986
횡단보도,37.503575204570076,127.04046785009633
횡단보도,37.503505820213384,127.04041555108
횡단보도,37.50550841021358,127.0478871775193
횡단보도,37.4949858177783,127.07901976326492
횡단보도,37.496614323562,127.07738072956029
횡단보도,37.50444580916853,127.0429869601248
횡단보도,37.50427260132575,127.04365574672794
횡단보도,37.504294950398574,127.04380573640542
횡단보도,37.504178384439804,127.04380718140777
횡단보도,37.5273148259282,127.04562802102016
횡단보도,37.52724644398065,127.04567827435882
횡단보도,37.527269173504365,127.04576190073819
횡단보도,37.50399650368403,127.04123380416719
횡단보도,37.510842722951516,127.06619531820958
횡단보도,37.50679374251226,127.05157802424397
횡단보도,37.5067581698981,127.05058039273345
횡단보도,37.50575777986513,127.05052573432857
횡단보도,37.5057322952651,127.05041842370208
횡단보도,37.50370434223899,127.04927152238092
횡단보도,37.50333877121751,127.0494319900888
횡단보도,37.504860325572224,127.04684570351998
횡단보도,37.50475019145254,127.0468249115614
횡단보도,37.50527908424069,127.04718043874658
