지점명,2021,2022,2023,지점번호,lat,lng
진흥로(구기터널),42541,41417,41213,D-01,37.60885889999937,126.95465229999856
평창문화로(북악터널),41546,41392,41115,D-02,37.61147850000128,126.97941230000156
동호로(금호터널),61491,60940,61995,D-03,37.551761699997066,127.01343020000292
서빙고로(한남역),86338,84932,84799,D-04,37.52715506012961,127.00459310246713
천호대로(군자교),81095,79931,79570,D-05,37.56078740000425,127.06859020000068
뚝섬로(용비교),65644,64502,63788,D-06,37.54204691127844,127.02051465696434
동일로(군자교),64612,63848,64010,D-07,37.55315512072661,127.0702671817518
화랑로(상월곡역),67567,67117,67943,D-08,37.6037426999987,127.04427290000444
동소문로(길음교사거리),55686,55405,56064,D-09,37.5998603999992,127.0217108999981
화랑로(화랑대역),67211,67537,67004,D-10,37.61982951833141,127.08272171581184
도봉로(쌍문역),43027,41897,42409,D-11,37.64568199999703,127.03340680000316
동부간선도로(월계1교),119920,126236,123690,D-12,37.63258106097123,127.0640882803936
동일로(노원역),37561,37352,37442,D-13,37.65238990000437,127.06064830000004
증산로(디지털미디어시티역),63470,64633,64804,D-14,37.579821599996016,126.90531189999764
통일로(산골고개정류장),65581,64671,66301,D-15,37.59488390000313,126.9401573999985
성산로(연희IC),73568,76228,77980,D-16,37.56297820000257,126.93127299999652
연희로(연희IC),34854,36670,36706,D-17,37.566030707210814,126.9303093103913
남부순환도로(화곡로입구교차로),72080,72007,69470,D-18,37.540117599998,126.82577909999613
남부순환로(신월IC),107216,106825,109544,D-19,37.52400650000271,126.83630949999512
강서로(화곡터널),37711,37356,37562,D-20,37.53446859999907,126.8450902000022
공항대로(발산역),50328,50416,50477,D-21,37.55926469999767,126.82987599999854
경인로(오류IC),46216,45818,47089,D-22,37.49847370000137,126.8509966999989
경인로(거리공원입구교차로),46190,45898,49291,D-23,37.506416600002446,126.88433090000298
시흥대로(시흥IC),78500,75950,74397,D-24,37.476881899998546,126.89847170000456
영등포로(오목교),55163,56738,57412,D-25,37.52313490000218,126.88347359999496
시흥대로(구로디지털단지역),70587,66105,64199,D-26,37.486971999997,126.90430320000216
국회대로(여의2교),53722,49423,49704,D-27,37.525804799997864,126.91042109999914
경인로(서울교),90915,91034,91117,D-28,37.52042420000342,126.91531080000324
여의대방로(여의교),82385,80537,82005,D-29,37.51707570000247,126.9278404999986
양녕로(상도터널),67482,68430,68934,D-30,37.51085870000155,126.9533551999986
동작대로(총신대입구역),82634,82990,82544,D-31,37.49442941979639,126.98283427066944
문성로(난곡터널),15411,14775,14811,D-32,37.47908790000088,126.9242722000018
남부순환로(낙성대역),90723,89237,89886,D-33,37.47785699999957,126.96237130000522
남부순환로(예술의전당),82399,82135,82012,D-34,37.476561099998015,127.00417510000426
강남대로(강남역-신분당),53898,53290,54695,D-35,37.4921922910611,127.03027093968564
사평대로(고속터미널역),83240,82940,84911,D-36,37.50353479999782,127.00781929999717
반포대로(서초역),81650,79190,78319,D-37,37.49625957869676,127.0055863486508
언주로(매봉터널),58894,59652,59753,D-38,37.49242379999682,127.0474783000002
남부순환로(수서IC),97512,99326,103973,D-39,37.49549760000092,127.09213629999871
헌릉로(세곡동사거리),63340,61994,64245,D-40,37.46486560000322,127.10538289999444
노들로,57855,57108,57953,D-41,37.52971516279648,126.90924353876083
테헤란로(선릉역),65162,66171,67750,D-42,37.505883699996026,127.05215149999606
강남대로(신사역),64676,69364,75840,D-43,37.51497188187211,127.02008872830052
백제고분로(종합운동장),36939,37241,36669,D-44,37.51121742633455,127.07838282831274
송파대로(송파역),74952,75973,76885,D-45,37.48721381470459,127.12186719282836
서부간선도로(오목교),-,103898,104339,D-46,37.52087918908032,126.8819015657572
올림픽대로,243077.0,107786,106155,F-01,37.50615876584033,126.9733765165756
강변북로,225665.0,118849,116993,F-02,37.51703409512075,126.97431151057935
내부순환로,138821.0,69462,69224,F-03,37.60880337797713,126.998992038013
북부간선도로,105921.0,56971,57312,F-04,37.60852134035609,127.05265165632676
동부간선도로,133006.0,73806,73374,F-05,37.57419670957969,127.07924120214136
경부고속도로,192269.0,98426,97219,F-06,37.48882399868496,127.02382443268412
분당수서로,134216.0,67390,66885,F-07,37.4975970158606,127.08725714690236
강남순환로,90451.0,44879,47461,F-08,37.438360742400214,126.907704222196
서부간선지하도로,95170.0,26727,27826,F-09,37.46876669669271,126.88363401633389
신월여의지하도로,,24837,29864,F-10,37.52887945161377,126.8568865320232
