acdnt_year,occrrnc_time_code,legaldong_name,acdnt_hdc,lrg_violt_1_dc,road_stle_dc,wrngdo_vhcle_asort_dc,acdnt_age_1_code,rdse_sttus_dc,road_div,lat,lng,near_crosswalk,near_traffic_light,near_child_zone,near_elderly_zone,near_disabled_zone,lanes,lengths,velocity,traffic_volume,elderly_hotspot,non_elderly_hotspot,all_hotspot
2021,5,서울특별시 강남구 개포동,차대사람,안전운전불이행,교차로 - 교차로부근,기타불명,999, 건조,104.0,37.493578707907666,127.07937891177272,1,0,1,0,0,4.0,1217.0,16.4,134216.0,0.0,,1
2021,12,서울특별시 강남구 압구정동,차대차,안전운전불이행,단일로 - 고가도로위,화물,75, 건조,104.0,37.53294335554879,127.03435981155918,0,0,0,0,0,6.0,12051.0,26.5,125260,1.0,,1
2021,17,서울특별시 강남구 역삼동,차대사람,안전운전불이행,단일로 - 기타,승용,71, 건조,,37.496503320718624,127.03026465061455,0,0,1,0,0,,,,53898,1.0,,1
2021,20,서울특별시 강남구 역삼동,차대차,안전운전불이행,단일로 - 기타,기타불명,999, 젖음/습기,104.0,37.5009526638927,127.03625557803105,0,0,0,0,0,10.0,4059.0,20.1,53898,1.0,,1
2021,21,서울특별시 강남구 역삼동,차대차,안전운전불이행,단일로 - 기타,기타불명,999, 건조,104.0,37.50228548723037,127.03595317744649,0,0,1,0,0,6.0,8312.0,22.6,53898,1.0,,1
2021,17,서울특별시 강남구 대치동,차대차,안전거리미확보,교차로 - 교차로부근,화물,68, 젖음/습기,103.0,37.49604331025576,127.07043928270794,0,0,0,0,0,,,,134216.0,1.0,,1
2021,17,서울특별시 강남구 대치동,차대차,안전거리미확보,교차로 - 교차로안,승용,73, 젖음/습기,103.0,37.505208600772946,127.06509173295576,0,0,1,0,0,,,,65162,1.0,,1
2021,3,서울특별시 강남구 논현동,차대차,안전운전불이행,기타 - 기타,승용,70, 건조,104.0,37.50843487319472,127.02739517229402,0,0,1,0,0,,,,64676,0.0,,1
2021,18,서울특별시 강남구 개포동,차대차,안전운전불이행,교차로 - 교차로부근,승용,77, 건조,103.0,37.48600941616824,127.0749420797872,0,0,0,0,0,,,,134216.0,1.0,,1
2021,22,서울특별시 강남구 삼성동,차대차,안전운전불이행,교차로 - 교차로부근,승용,71, 건조,104.0,37.51368594165857,127.05662383807862,0,0,1,0,0,6.0,4213.0,18.7,65162,1.0,,1
2021,13,서울특별시 강남구 삼성동,차대차,안전거리미확보,단일로 - 기타,승용,84, 건조,104.0,37.50692819785524,127.0572747890869,0,0,0,0,0,10.0,4059.0,18.9,65162,1.0,,1
